Year,Tmax,Tmean,Tmin,Precipitation
1901,24.98,17.49,10.05,434.58
1902,25.57,17.48,9.44,315.55
1903,24.29,16.98,9.72,567.02
1904,24.5,16.9,9.34,488.37
1905,24.2,16.64,9.14,462.95
1906,24.54,17.19,9.89,595.93
1907,24.6,16.96,9.37,468.01
1908,24.31,16.89,9.53,502.23
1909,23.39,16.31,9.29,528.72
1910,24.07,16.98,9.93,538.79
1911,23.81,16.69,9.62,601.87
1912,24.7,17.3,9.94,455.93
1913,24.21,17,9.83,524.2
1914,25.47,18.19,10.96,489.16
1915,24.84,17.54,10.28,384.37
1916,23.59,16.84,10.15,680.45
1917,23.25,16.38,9.55,658.94
1918,24.13,16.78,9.49,416.83
1919,25.5,17.9,10.35,372.96
1920,23.62,16.7,9.83,586.59
1921,24.23,17.34,10.49,704.58
1922,24.88,17.24,9.64,399.43
1923,24.7,17.32,9.99,414.64
1924,23.36,16.22,9.12,584.55
1925,23.62,16.5,9.44,507.26
1926,24.34,17.13,9.98,523.07
1927,24.14,16.63,9.17,411.71
1928,24.59,17.27,10.01,538.47
1929,23.96,16.58,9.25,453.68
1930,24.13,17.23,10.39,541.32
1931,23.48,16.58,9.73,636.81
1932,24.19,16.96,9.79,484.17
1933,23.93,16.88,9.88,538.47
1934,23.88,16.88,9.93,641.96
1935,24.08,16.75,9.47,392.76
1936,24.11,16.88,9.7,559.05
1937,24.45,17.14,9.87,460.42
1938,24.99,17.78,10.62,414.58
1939,24.03,17.18,10.38,584.32
1940,25.3,17.56,9.86,315.84
1941,24.01,16.77,9.59,442.31
1942,24.42,17.52,10.67,560.98
1943,23.55,16.51,9.51,460.64
1944,24.6,17.11,9.66,313.52
1945,24.22,17.13,10.09,492.28
1946,24.23,16.94,9.7,440.51
1947,23.64,16.92,10.25,651.92
1948,23.75,16.64,9.58,507.99
1949,23.28,16.45,9.67,661.61
1950,23.28,17.04,10.85,924.54
1951,23.98,16.89,9.86,471.2
1952,23.55,16.84,10.18,642.9
1953,24,16.91,9.87,461.83
1954,23.8,16.97,10.19,605.17
1955,23.35,16.96,10.62,728.58
1956,22.43,16.14,9.91,853.76
1957,24.86,17.24,9.66,366.82
1958,23.93,17.24,10.6,572.95
1959,24.16,17.34,10.58,657.27
1960,23.42,16.77,10.17,551.53
1961,24.23,17.31,10.44,592.84
1962,23.68,16.88,10.14,634.17
1963,23.58,17.14,10.75,689.99
1964,23.64,16.77,9.94,519.49
1965,24.7,17.51,10.37,352.9
1966,23.44,16.72,10.05,506.26
1967,24.31,17.44,10.62,408.59
1968,23.69,17.23,10.82,553.1
1969,23.75,17.25,10.8,653.94
1970,23.51,16.73,10,568.05
1971,23.52,16.91,10.34,613.73
1972,24.43,17.39,10.39,466.5
1973,24.16,17.88,11.64,779.81
1974,23.1,16.84,10.63,812.19
1975,24.08,17.41,10.79,629.31
1976,23.42,16.69,10.01,702.23
1977,24.5,17.47,10.49,500.27
1978,23.21,16.93,10.69,737.99
1979,24.74,17.86,11.02,439.14
1980,25.19,18.11,11.09,408.11
1981,24.32,17.82,11.36,574.15
1982,25.02,17.78,10.59,346.79
1983,23.82,17.56,11.34,696.43
1984,23.44,16.71,10.02,698.31
1985,24.04,17.26,10.52,554.21
1986,24.05,17.13,10.26,463.95
1987,24.1,17.37,10.7,571.38
1988,24.55,17.98,11.45,705.65
1989,23.59,17.21,10.88,648.87
1990,24.26,17.77,11.32,623.73
1991,24.89,17.9,10.96,482.62
1992,23.39,16.89,10.43,659.47
1993,24.36,17.63,10.95,591.23
1994,24.78,17.42,10.1,379.12
1995,23.81,17.21,10.67,604.24
1996,23.92,17.14,10.42,604.13
1997,24.92,17.87,10.88,474.44
1998,24.36,17.81,11.31,654.1
1999,24.3,17.67,11.09,677.62
2000,24.19,17.52,10.91,613.48
2001,24.76,17.66,10.62,502.4
2002,25.65,18.07,10.53,360.18
2003,24.69,17.84,11.04,510.68
2004,25,17.81,10.67,528.31
2005,25.28,18.15,11.07,511.15
2006,25.47,18.03,10.65,365.08
2007,25.12,18.25,11.43,547.43
2008,24.37,17.44,10.57,555.66
2009,25.36,18.31,11.32,494.5
2010,23.68,17.34,11.05,822.99
2011,24.4,17.58,10.81,618.73
2012,24.82,17.57,10.37,549.38
2013,25.87,18.51,11.19,519.39
2014,25.82,18.63,11.47,498.26
2015,25.05,18.08,11.16,563.57
2016,25.17,18.41,11.7,617.76
2017,25.91,18.57,11.28,483.14
2018,26.08,18.62,11.22,408.76
2019,26.16,18.67,11.23,354.52
2020,24.97,18.17,11.42,644.73
2021,24.45,17.58,10.76,704.53
2022,23.92,17.59,11.31,780.77
2023,25.89,18.38,10.92,503.6
2024,25.73,18.68,11.68,621.26
